12
PARAMETROS : 
cantidadElementosLectura = 100000
pasoPrueba = 10
cantidadPruebas = 100
nombreArchivo = datos.txt
TIEMPOS DE BUSQUEDA EN MAP STL
0 1.30000e+01
1 7.00000e+00
2 9.00000e+00
3 8.00000e+00
4 1.10000e+01
5 8.00000e+00
6 8.00000e+00
7 8.00000e+00
8 7.00000e+00
9 7.00000e+00
10 7.00000e+00
11 8.00000e+00
12 9.00000e+00
13 8.00000e+00
14 8.00000e+00
15 8.00000e+00
16 8.00000e+00
17 8.00000e+00
18 8.00000e+00
19 8.00000e+00
20 8.00000e+00
21 1.80000e+01
22 8.00000e+00
23 8.00000e+00
24 9.00000e+00
25 3.10000e+01
26 7.00000e+00
27 7.00000e+00
28 7.00000e+00
29 8.00000e+00
30 7.00000e+00
31 7.00000e+00
32 7.00000e+00
33 8.00000e+00
34 7.00000e+00
35 1.80000e+01
36 4.30000e+01
37 9.00000e+00
38 8.00000e+00
39 4.40000e+01
40 7.00000e+00
41 7.00000e+00
42 7.00000e+00
43 7.00000e+00
44 7.00000e+00
45 5.60000e+01
46 2.60000e+01
47 8.00000e+00
48 8.00000e+00
49 8.00000e+00
50 7.00000e+00
51 8.00000e+00
52 1.00000e+01
53 9.00000e+00
54 8.00000e+00
55 8.00000e+00
56 9.00000e+00
57 9.00000e+00
58 8.00000e+00
59 9.00000e+00
60 8.00000e+00
61 8.00000e+00
62 1.00000e+01
63 8.00000e+00
64 8.00000e+00
65 9.00000e+00
66 3.90000e+01
67 8.00000e+00
68 8.00000e+00
69 8.00000e+00
70 8.00000e+00
71 8.00000e+00
72 8.00000e+00
73 7.00000e+00
74 8.00000e+00
75 8.00000e+00
76 8.00000e+00
77 8.00000e+00
78 8.00000e+00
79 8.00000e+00
80 8.00000e+00
81 7.00000e+00
82 7.00000e+00
83 8.00000e+00
84 9.00000e+00
85 8.00000e+00
86 8.00000e+00
87 8.00000e+00
88 8.00000e+00
89 8.00000e+00
90 8.00000e+00
91 8.00000e+00
92 7.00000e+00
93 7.00000e+00
94 7.00000e+00
95 8.00000e+00
96 8.00000e+00
97 7.00000e+00
98 8.00000e+00
99 8.00000e+00
TIEMPOS DE BUSQUEDA EN VECTOR STL
0 2.18100e+03
1 2.70200e+03
2 2.43200e+03
3 1.85100e+03
4 1.81300e+03
5 2.10000e+03
6 2.33100e+03
7 1.92100e+03
8 1.94000e+03
9 2.50100e+03
10 2.35000e+03
11 1.94000e+03
12 1.81100e+03
13 1.85900e+03
14 1.94800e+03
15 2.13800e+03
16 2.23400e+03
17 2.23400e+03
18 2.35900e+03
19 2.13100e+03
20 1.94100e+03
21 1.91100e+03
22 1.85800e+03
23 1.88700e+03
24 2.06200e+03
25 2.42500e+03
26 2.12900e+03
27 1.95300e+03
28 1.97500e+03
29 2.21300e+03
30 2.02100e+03
31 2.20100e+03
32 1.95800e+03
33 2.15500e+03
34 2.42900e+03
35 1.89200e+03
36 1.84900e+03
37 1.90300e+03
38 1.94300e+03
39 2.86300e+03
40 2.44600e+03
41 2.41400e+03
42 2.16300e+03
43 2.17200e+03
44 2.07900e+03
45 2.25200e+03
46 2.48600e+03
47 2.71200e+03
48 2.94600e+03
49 3.10500e+03
50 2.55600e+03
51 2.20400e+03
52 2.30100e+03
53 2.01300e+03
54 2.30000e+03
55 2.93300e+03
56 3.18900e+03
57 2.87700e+03
58 2.19400e+03
59 2.45600e+03
60 2.22400e+03
61 2.35400e+03
62 2.48400e+03
63 2.39300e+03
64 2.45000e+03
65 2.70900e+03
66 2.36400e+03
67 2.34400e+03
68 2.77200e+03
69 2.28700e+03
70 2.30300e+03
71 2.47100e+03
72 2.39000e+03
73 2.15200e+03
74 2.21700e+03
75 2.46200e+03
76 2.43400e+03
77 2.01000e+03
78 1.98400e+03
79 1.97100e+03
80 2.61200e+03
81 2.13600e+03
82 2.10200e+03
83 2.32100e+03
84 2.35500e+03
85 2.19000e+03
86 1.93100e+03
87 1.93000e+03
88 1.96900e+03
89 2.26300e+03
90 2.23800e+03
91 2.32500e+03
92 2.03400e+03
93 2.78500e+03
94 2.52100e+03
95 2.76000e+03
96 3.21200e+03
97 3.02400e+03
98 2.10700e+03
99 2.30700e+03
